FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EURO_LABOUR_STATUS,Condizione lavorativa europea,Y_STUDENT,Studente,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,0,No,2018,118,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,0,No,2019,110,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,0,No,2020,96,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,0,No,2021,101,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,0,No,2022,97,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,0,No,2023,108,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,0,No,2024,106,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,0,No,2025,76,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,1,Si,2018,15,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,1,Si,2019,16,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,1,Si,2020,16,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,1,Si,2021,17,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,1,Si,2022,19,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,1,Si,2023,24,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,1,Si,2024,22,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,1,Si,2025,15,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,9,Totale,2018,133,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,9,Totale,2019,126,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,9,Totale,2020,112,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,9,Totale,2021,119,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,9,Totale,2022,116,,
A,Annuale,IT,Italia,POP,Popolazione 0 anni e più (in migliaia),1,Maschi,Y15-19,15-19 anni,LF,Forze lavoro,9,Totale,2023,132,,
