territorio,sesso,fascia_eta,condizione_lavorativa,status_studente,anno,valore_migliaia
Italia,Maschi,15-19 anni,Forze lavoro,No,2018,118
Italia,Maschi,15-19 anni,Forze lavoro,No,2019,110
Italia,Maschi,15-19 anni,Forze lavoro,No,2020,96
Italia,Maschi,15-19 anni,Forze lavoro,No,2021,101
Italia,Maschi,15-19 anni,Forze lavoro,No,2022,97
Italia,Maschi,15-19 anni,Forze lavoro,No,2023,108
Italia,Maschi,15-19 anni,Forze lavoro,No,2024,106
Italia,Maschi,15-19 anni,Forze lavoro,No,2025,76
Italia,Maschi,15-19 anni,Forze lavoro,Si,2018,15
Italia,Maschi,15-19 anni,Forze lavoro,Si,2019,16
Italia,Maschi,15-19 anni,Forze lavoro,Si,2020,16
Italia,Maschi,15-19 anni,Forze lavoro,Si,2021,17
Italia,Maschi,15-19 anni,Forze lavoro,Si,2022,19
Italia,Maschi,15-19 anni,Forze lavoro,Si,2023,24
Italia,Maschi,15-19 anni,Forze lavoro,Si,2024,22
Italia,Maschi,15-19 anni,Forze lavoro,Si,2025,15
Italia,Maschi,15-19 anni,Forze lavoro,Totale,2018,133
Italia,Maschi,15-19 anni,Forze lavoro,Totale,2019,126
Italia,Maschi,15-19 anni,Forze lavoro,Totale,2020,112
Italia,Maschi,15-19 anni,Forze lavoro,Totale,2021,119
Italia,Maschi,15-19 anni,Forze lavoro,Totale,2022,116
Italia,Maschi,15-19 anni,Forze lavoro,Totale,2023,132
Italia,Maschi,15-19 anni,Forze lavoro,Totale,2024,128
Italia,Maschi,15-19 anni,Forze lavoro,Totale,2025,91
Italia,Maschi,15-19 anni,Occupati,No,2018,62
Italia,Maschi,15-19 anni,Occupati,No,2019,60
Italia,Maschi,15-19 anni,Occupati,No,2020,49
Italia,Maschi,15-19 anni,Occupati,No,2021,51
Italia,Maschi,15-19 anni,Occupati,No,2022,59
Italia,Maschi,15-19 anni,Occupati,No,2023,69
Italia,Maschi,15-19 anni,Occupati,No,2024,70
Italia,Maschi,15-19 anni,Occupati,No,2025,47
Italia,Maschi,15-19 anni,Occupati,Si,2018,10
Italia,Maschi,15-19 anni,Occupati,Si,2019,10
Italia,Maschi,15-19 anni,Occupati,Si,2020,11
Italia,Maschi,15-19 anni,Occupati,Si,2021,11
Italia,Maschi,15-19 anni,Occupati,Si,2022,14
Italia,Maschi,15-19 anni,Occupati,Si,2023,19
Italia,Maschi,15-19 anni,Occupati,Si,2024,17
Italia,Maschi,15-19 anni,Occupati,Si,2025,13
Italia,Maschi,15-19 anni,Occupati,Totale,2018,72
Italia,Maschi,15-19 anni,Occupati,Totale,2019,70
Italia,Maschi,15-19 anni,Occupati,Totale,2020,60
Italia,Maschi,15-19 anni,Occupati,Totale,2021,62
Italia,Maschi,15-19 anni,Occupati,Totale,2022,73
Italia,Maschi,15-19 anni,Occupati,Totale,2023,88
Italia,Maschi,15-19 anni,Occupati,Totale,2024,87
Italia,Maschi,15-19 anni,Occupati,Totale,2025,60
Italia,Maschi,15-19 anni,Disoccupati,No,2018,56
Italia,Maschi,15-19 anni,Disoccupati,No,2019,50
Italia,Maschi,15-19 anni,Disoccupati,No,2020,47
Italia,Maschi,15-19 anni,Disoccupati,No,2021,51
Italia,Maschi,15-19 anni,Disoccupati,No,2022,39
Italia,Maschi,15-19 anni,Disoccupati,No,2023,39
Italia,Maschi,15-19 anni,Disoccupati,No,2024,36
Italia,Maschi,15-19 anni,Disoccupati,No,2025,29
Italia,Maschi,15-19 anni,Disoccupati,Si,2018,5
Italia,Maschi,15-19 anni,Disoccupati,Si,2019,6
Italia,Maschi,15-19 anni,Disoccupati,Si,2020,5
Italia,Maschi,15-19 anni,Disoccupati,Si,2021,6
Italia,Maschi,15-19 anni,Disoccupati,Si,2022,4
Italia,Maschi,15-19 anni,Disoccupati,Si,2023,5
Italia,Maschi,15-19 anni,Disoccupati,Si,2024,5
Italia,Maschi,15-19 anni,Disoccupati,Si,2025,2
Italia,Maschi,15-19 anni,Disoccupati,Totale,2018,61
Italia,Maschi,15-19 anni,Disoccupati,Totale,2019,56
Italia,Maschi,15-19 anni,Disoccupati,Totale,2020,52
Italia,Maschi,15-19 anni,Disoccupati,Totale,2021,56
Italia,Maschi,15-19 anni,Disoccupati,Totale,2022,43
Italia,Maschi,15-19 anni,Disoccupati,Totale,2023,43
Italia,Maschi,15-19 anni,Disoccupati,Totale,2024,41
Italia,Maschi,15-19 anni,Disoccupati,Totale,2025,31
Italia,Maschi,15-19 anni,Totale inattivi,No,2018,126
Italia,Maschi,15-19 anni,Totale inattivi,No,2019,127
Italia,Maschi,15-19 anni,Totale inattivi,No,2020,126
Italia,Maschi,15-19 anni,Totale inattivi,No,2021,162
Italia,Maschi,15-19 anni,Totale inattivi,No,2022,132
Italia,Maschi,15-19 anni,Totale inattivi,No,2023,75
Italia,Maschi,15-19 anni,Totale inattivi,No,2024,72
Italia,Maschi,15-19 anni,Totale inattivi,No,2025,53
Italia,Maschi,15-19 anni,Totale inattivi,Si,2018,1226
Italia,Maschi,15-19 anni,Totale inattivi,Si,2019,1222
Italia,Maschi,15-19 anni,Totale inattivi,Si,2020,1233
Italia,Maschi,15-19 anni,Totale inattivi,Si,2021,1187
Italia,Maschi,15-19 anni,Totale inattivi,Si,2022,1228
Italia,Maschi,15-19 anni,Totale inattivi,Si,2023,1281
Italia,Maschi,15-19 anni,Totale inattivi,Si,2024,1296
Italia,Maschi,15-19 anni,Totale inattivi,Si,2025,1361
Italia,Maschi,15-19 anni,Totale inattivi,Totale,2018,1352
Italia,Maschi,15-19 anni,Totale inattivi,Totale,2019,1349
Italia,Maschi,15-19 anni,Totale inattivi,Totale,2020,1359
Italia,Maschi,15-19 anni,Totale inattivi,Totale,2021,1349
Italia,Maschi,15-19 anni,Totale inattivi,Totale,2022,1360
Italia,Maschi,15-19 anni,Totale inattivi,Totale,2023,1355
Italia,Maschi,15-19 anni,Totale inattivi,Totale,2024,1368
Italia,Maschi,15-19 anni,Totale inattivi,Totale,2025,1414
Italia,Maschi,15-19 anni,Forze lavoro potenziali,No,2018,46
Italia,Maschi,15-19 anni,Forze lavoro potenziali,No,2019,52
Italia,Maschi,15-19 anni,Forze lavoro potenziali,No,2020,50
Italia,Maschi,15-19 anni,Forze lavoro potenziali,No,2021,38
Italia,Maschi,15-19 anni,Forze lavoro potenziali,No,2022,37
Italia,Maschi,15-19 anni,Forze lavoro potenziali,No,2023,35
Italia,Maschi,15-19 anni,Forze lavoro potenziali,No,2024,32
Italia,Maschi,15-19 anni,Forze lavoro potenziali,No,2025,28
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Si,2018,23
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Si,2019,21
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Si,2020,19
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Si,2021,14
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Si,2022,18
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Si,2023,19
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Si,2024,18
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Si,2025,13
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Totale,2018,69
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Totale,2019,72
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Totale,2020,70
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Totale,2021,53
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Totale,2022,55
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Totale,2023,54
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Totale,2024,49
Italia,Maschi,15-19 anni,Forze lavoro potenziali,Totale,2025,41
Italia,Maschi,15-19 anni,Non cercano e non disponibili,No,2018,80
Italia,Maschi,15-19 anni,Non cercano e non disponibili,No,2019,76
Italia,Maschi,15-19 anni,Non cercano e non disponibili,No,2020,75
Italia,Maschi,15-19 anni,Non cercano e non disponibili,No,2021,123
Italia,Maschi,15-19 anni,Non cercano e non disponibili,No,2022,95
Italia,Maschi,15-19 anni,Non cercano e non disponibili,No,2023,39
Italia,Maschi,15-19 anni,Non cercano e non disponibili,No,2024,40
Italia,Maschi,15-19 anni,Non cercano e non disponibili,No,2025,24
Italia,Maschi,15-19 anni,Non cercano e non disponibili,Si,2018,1203
